"X1","X2","X3","rep(seat, nrow(table))","rep(city, nrow(table))","rep(year, nrow(table))"
"Dr.Hafiz Shabbir Ahmed","PML(N)","22369",116,"Narowal",2008
"hGulzar Ahmed Chaudhary","  
          PPP","  9553",116,"Narowal",2008
"hSurraya Asghar","  
          Independent","  193",116,"Narowal",2008
"Ahsan Iqbal","PML(N)","66633",117,"Narowal",2008
"Rifat Javed Kahloon","PML","36231",117,"Narowal",2008
"Ibne Saeed Ch.","PPP","10604",117,"Narowal",2008
"hNadir Zia Kahloon","  
          PPP","  211",117,"Narowal",2008
"hMujtba Jamal","  
          Independent","  130",117,"Narowal",2008
"Muhammad Riaz","PML(N)","55900",118,"Lahore",2008
"Syed Asif Hashmi","PPP","24712",118,"Lahore",2008
"Mian Muhammad Azhar","PML","11075",118,"Lahore",2008
"Inam Ullah Khan","Independent"," 248",118,"Lahore",2008
"Ch. Muhammad Sagheer Anwar","Independent"," 189",118,"Lahore",2008
"Jahangir Ashraf Vaince","Independent"," 177",118,"Lahore",2008
"Dr. Asad Ashraf","Independent"," 128",118,"Lahore",2008
"Muhammad Safdar Sheikh","Independent"," 113",118,"Lahore",2008
"Ch. Wahid Ahmad","Independent"," 98",118,"Lahore",2008
"Rana Farhat Ali Advocate","MQM"," 93",118,"Lahore",2008
"Shahid Naeem Advocate","PNP"," 88",118,"Lahore",2008
"Rana Ahsan Sharafat","Independent"," 41",118,"Lahore",2008
"Muhammad Hamza ShehbazhSharif (Un-Contested)","PML(N)","0",119,"Lahore",2008
"Bilal Yaseen","PML(N)","65946",120,"Lahore",2008
" Jahangir Badar","  PPP","  24380",120,"Lahore",2008
" Kh. Tahir Zia","  PML","  4270",120,"Lahore",2008
" Hafiz Sana Ullah","  MMA","   843",120,"Lahore",2008
" Gull Muhammad Bhatti (Retired) ","  APP","   703",120,"Lahore",2008
" Maqsood Ahmed Awan","  MQM","   73",120,"Lahore",2008
" Muazzam Iqbal Gill Advocate","  Independent","   41",120,"Lahore",2008
" Azhar Khan Lodhi","  Independent","   19",120,"Lahore",2008
"Mian Margoob Ahmad","PML(N)","72227",121,"Lahore",2008
" Aurangzeb Shaafi Burki","  PPP","  27934",121,"Lahore",2008
" Mian Muhammad Asif","  PML","  7559",121,"Lahore",2008
" Monazza Abdul Razzaq","  Independent","  329",121,"Lahore",2008
" Muhammad Arshad Khan Niazi","  Independent","  153",121,"Lahore",2008
" Hafiz Muhammad Ejaz-ul-Haq Ch.","  MMA","  128",121,"Lahore",2008
" Abdul Karim Butt","  Independent","  69",121,"Lahore",2008
" Khawaja Ahmad Hassan","  Independent","  54",121,"Lahore",2008
"Sardar Ayaz Sadiq","PML(N)","79506",122,"Lahore",2008
" Mian Omer Misbah-ul-Rehman","  PPP","  24963",122,"Lahore",2008
" Mian Muhammad Jehangir","  PML","  10657",122,"Lahore",2008
" Gul Muhammad Bhatti","  AZP","  789",122,"Lahore",2008
" Agha Muhammad Naved","  MQM","  134",122,"Lahore",2008
" Ch. Muhammad Ali Advocate","  Independent","  104",122,"Lahore",2008
" Prof. Abdul Rehman Ludhanvi","  MMA","  84",122,"Lahore",2008
" Kh. Ahmad Hassan","  Independent","  67",122,"Lahore",2008
" Mian Asad Munir","  Independent","  41",122,"Lahore",2008
" Syed Zaeem Hussain Qadri","  Independent","  14",122,"Lahore",2008
"Mohammad Pervaiz Malik","PML(N)","44146",123,"Lahore",2008
"Mian Hamid Miraj","Independent","9192",123,"Lahore",2008
"Hafiz Salman Butt","Independent","3257",123,"Lahore",2008
"Babu Ashhar Jhangir Advocate","Independent","441",123,"Lahore",2008
"Muhammad Sajid Latif","Independent","257",123,"Lahore",2008
"Mian Usman Arif","Independent","207",123,"Lahore",2008
"Malik Bashir Ahmad Nizami","Independent","136",123,"Lahore",2008
"Shabbir Ahmed Bhatti","Independent","100",123,"Lahore",2008
"Syed Abid Ali Shah","Independent","68",123,"Lahore",2008
"Hakim Mueen-ud-Din Qureshi","Independent","68",123,"Lahore",2008
"Haji Muhammad Akram","Independent","60",123,"Lahore",2008
"Malik Asghar Ali Billo","Independent","49",123,"Lahore",2008
"Nighat Bashir Khan","Independent","47",123,"Lahore",2008
"Haji Muhammad Naeem","Independent","39",123,"Lahore",2008
"Ch. Muhammad Shaukat","Pasban","37",123,"Lahore",2008
"Haji Muhammad Ahmad","Independent","29",123,"Lahore",2008
"Muhammad Ikram Sindhu","Independent","28",123,"Lahore",2008
"Muhammad Amjad Rabbani","Independent","24",123,"Lahore",2008
"Raja Asad Iqbal","Independent","22",123,"Lahore",2008
"Burhan-ul-Muqtadar","Independent","20",123,"Lahore",2008
"Manzoor Ali Bhatti","Independent","17",123,"Lahore",2008
"Chaudhary Ghulam Mustafa","Independent","17",123,"Lahore",2008
"Mian Tahir Siddique","PML","16",123,"Lahore",2008
"Mian Sohail Ismail","PAP","15",123,"Lahore",2008
"Muhammad Nawaz","Independent","13",123,"Lahore",2008
"Shahzada Ahsan Ashraf","Independent","13",123,"Lahore",2008
"Malik Javaid Shahbaz Heera","Independent","12",123,"Lahore",2008
"Rana Naek Muhammad","Independent","12",123,"Lahore",2008
"Masood Ahmad Saeed","Independent","10",123,"Lahore",2008
"Rana Zafar Ali","Independent","9",123,"Lahore",2008
"Agha Javaid Iqbal Kashmiri","Independent","9",123,"Lahore",2008
"Muhammad Shakeel","Independent","9",123,"Lahore",2008
"Shoaib Ullah Cheema","Independent","8",123,"Lahore",2008
"Muhammad Iqbal","Independent","7",123,"Lahore",2008
"Syed Shakir Ali Shah","Independent","6",123,"Lahore",2008
"Mian Ijaz Ahmad Momin Jee","Independent","6",123,"Lahore",2008
"Kashif Rana","Independent","5",123,"Lahore",2008
"Rana Ilam-ud-Din GhazihAdvocate","PTI","5",123,"Lahore",2008
"Imran Butt","Independent","5",123,"Lahore",2008
"Ch. Muhammad Ilyas Gujjar","Independent","4",123,"Lahore",2008
"Malik Azhar Ali Mughal","Independent","4",123,"Lahore",2008
"Osama Shakoor Rana","Independent","4",123,"Lahore",2008
"Nadeem Shahzad Chaudhary","Independent","4",123,"Lahore",2008
"Pir Syed Muhammad MasoomhHussain Shah","JUP(N)","4",123,"Lahore",2008
"Muhammad Imran Chishti","Independent","3",123,"Lahore",2008
"Hafiz Muhammad Nasir","Independent","3",123,"Lahore",2008
"Chaudhary Akhtar Ali","Independent","3",123,"Lahore",2008
"Asghar Ali Hashmi","Independent","3",123,"Lahore",2008
"Yousaf Shaukat","Independent","2",123,"Lahore",2008
"Nawab Doctor Amber Shahzada","Independent","2",123,"Lahore",2008
"Muhammad Shahbaz Rehmani","Independent","2",123,"Lahore",2008
"Abid Hussain Siddiqui","Independent","2",123,"Lahore",2008
"Azhar Mehmood Mian Advocate","Independent","2",123,"Lahore",2008
"Qazi Kamran Gujjar","Independent","1",123,"Lahore",2008
"Sarfraz Qureshi","Independent","1",123,"Lahore",2008
"Talib Hussain","PML","0",123,"Lahore",2008
"Sheikh Rohale Asghar","PML(N)","71342",124,"Lahore",2008
" Ayaz Imran","  PPP","  23412",124,"Lahore",2008
" Hamayun Akhtar Khan","  PML","  10881",124,"Lahore",2008
" Mian Abdul Waheed","  Independent","  592",124,"Lahore",2008
" Haji Muhammad Ejaz","  Independent","  231",124,"Lahore",2008
" Qari Muhammad Zawar Bahadur (Retired)","  MMA","  0",124,"Lahore",2008
"Khawaja Saad Rafique","PML(N)","70752",125,"Lahore",2008
" Muhammad Naveed Ch.","  PPP","  24592",125,"Lahore",2008
" Humayun Akhtar Khan","  PML","  13702",125,"Lahore",2008
" Jawaid Ameen Khan","  Independent","  474",125,"Lahore",2008
" Noor Naeem Khan","  PPP(S)","  182",125,"Lahore",2008
" Malik Javed Shahbaz Heera","  Independent","  138",125,"Lahore",2008
" Mian Abdul Waheed","  Independent","  122",125,"Lahore",2008
" Zaheer Ud Din Bader","  JUI(S)","  97",125,"Lahore",2008
" Muhammad Farooq Ahmal","  Independent","  76",125,"Lahore",2008
" Qari Muhammad Zawar Bahadur","  MMA","  72",125,"Lahore",2008
" Muhammad Akbar Jehangir","  Independent","  39",125,"Lahore",2008
"Umer Sohail Zia Butt","PML(N)","69718",126,"Lahore",2008
" Syed Hasnat Ahmed","  PPP","  25056",126,"Lahore",2008
" Muhammad Idrees","  PML","  23657",126,"Lahore",2008
" Begum Tahira Asif","  MQM","  517",126,"Lahore",2008
" Nisar Ahmed Janjua","  Independent","  234",126,"Lahore",2008
" Eng. Syed Muhammad Ilyas","  Independent","  182",126,"Lahore",2008
" Hafiz Abdul Rehman Madni","  Independent","  172",126,"Lahore",2008
" Mian Mahmood Ali","  Independent","  40",126,"Lahore",2008
" Khawaja Ahmed Hassan","  Independent","  28",126,"Lahore",2008
" Sajjad Ahmad","  Independent","  28",126,"Lahore",2008
" Dr.Abdul Rehman","  Independent","  24",126,"Lahore",2008
" Ch. Muhammad Usman","  Independent","  15",126,"Lahore",2008
" Mushtaq Sajeel Bhatti","  Independent","  13",126,"Lahore",2008
"Chaudhry Nasir AhmedhBhutta","PML(N)","53602",127,"Lahore",2008
" Dr. Muhammad Riaz","  PPP","  21698",127,"Lahore",2008
" Abdul Aleem Khan","  PML","  13707",127,"Lahore",2008
" Farooq Amjad Meer","  Independent","  2277",127,"Lahore",2008
" Aneeqa Meerai Akhtar","  Independent","  1053",127,"Lahore",2008
" Dr. Abdul Rehman Shakir","  MMA","  235",127,"Lahore",2008
" Zahir Ahmed","  Independent","  225",127,"Lahore",2008
" Rana Intizar Hussain Advocate","  Independent","  126",127,"Lahore",2008
" Malik Ehsan Gungial","  Independent","  112",127,"Lahore",2008
" Major ( R ) Rana Abdul Ghafar Khan","  Independent","  16",127,"Lahore",2008
" Dr.Ch.Zahid Akram Nutt","  Independent","  1",127,"Lahore",2008
"Malik Muhammad AfzalhKhokhar","PML(N)","65727",128,"Lahore",2008
" Malik Karamat Ali Khokhar","  PPP","  37608",128,"Lahore",2008
" Sardar Aqil Omer","  PML","  18252",128,"Lahore",2008
" Babar Iqbal Bhatti","  Independent","  353",128,"Lahore",2008
" Malik Zaheer Abbas","  Independent","  257",128,"Lahore",2008
" Malik Ifan Shafi Khokhar","  Independent","  232",128,"Lahore",2008
" Malik Muhammad Azhar Khurshed","  Independent","  148",128,"Lahore",2008
" Nazir Malik","  Independent","  40",128,"Lahore",2008
"Tariq Shabbir Advocate","PPP","36604",129,"Lahore",2008
" Maj.(R) Habib Ullah Warraich","  PML","  29058",129,"Lahore",2008
" Sardar Adil Umar","  PML(N)","  25918",129,"Lahore",2008
" Rauy Bashir Ahmad","  MMA","  783",129,"Lahore",2008
" Naila Josph Dyal","  Independent","  699",129,"Lahore",2008
" Sajjad Ahmad","  PNP","  556",129,"Lahore",2008
" Doctor Chaudhary Zahid Akram Nutt","  Independent","  75",129,"Lahore",2008
" Hafiz Haider Ali Chaudhry","  Independent","  25",129,"Lahore",2008
"Samina Khalid Ghurki","PPP","44692",130,"Lahore",2008
" Sadia Shabir","  PML(N)","  41041",130,"Lahore",2008
" Ch. Muhammad Ashiq Dyial","  PML","  12613",130,"Lahore",2008
" Rana Muhammad Ashraf Adv.","  Independent","  283",130,"Lahore",2008
" Ch. Muhammad Saleem","  Independent","  169",130,"Lahore",2008
" Engineer Rana Anam Ullah","  Independent","  29",130,"Lahore",2008
" AmirhShehzad Khan","  
          
          Independent","  
          
          24",130,"Lahore",2008
"Rana Afzaal Hussain","PML(N)","119180",131,"Sheikhupura",2008
" Brdg: (R) Zulfiqar Ahmed Dhillon","  PML","  2587",131,"Sheikhupura",2008
" Umar Aftab Dhillon","  Independent","  474",131,"Sheikhupura",2008
" Ahmed Atiq Anwar","  Independent","  345",131,"Sheikhupura",2008
" Ijaz Ahmed Sehol","  Independent","  251",131,"Sheikhupura",2008
" Zulfiqar Ali Alies Mithu","  Independent","  148",131,"Sheikhupura",2008
" ImranhAshraf Gujjar","  
          
          Independent"," 
      

          



          69",131,"Sheikhupura",2008
" Rana Ijaz Hussain","  
          Independent","  
          68",131,"Sheikhupura",2008
" Zubair Rasool Sehol","  
          Independent","  
          64",131,"Sheikhupura",2008
"Rana Tanveer Hussain","PML(N)","48193",132,"Sheikhupura",2008
" Syed Gayoor Abbas Bukhari","  PPP","  34084",132,"Sheikhupura",2008
" Shahid Manzoor Gill","  PML","  24260",132,"Sheikhupura",2008
" Mian Abdul WAheed","  Independent","  641",132,"Sheikhupura",2008
" Mian Walid Ahmad Sharqpuri","  Independent","  457",132,"Sheikhupura",2008
" Khawar Ikram Bhatti","  Independent","  210",132,"Sheikhupura",2008
" Malik Javaid Shahbaz Heera","  
          
          Independent"," 
      

          
          
          87",132,"Sheikhupura",2008
" Rana WaqarhAhmad","  
          Independent","  62",132,"Sheikhupura",2008
" Saeeda Nazar","  
          Independent","  51",132,"Sheikhupura",2008
" Major (R)hJavaid Nasarullah","  Independent","  47",132,"Sheikhupura",2008
" SyedhMuhammad Abu Talib Bukhari","  Independent","  15",132,"Sheikhupura",2008
"Mian Javed Latif","PML(N)","44786",133,"Sheikhupura",2008
" Ch.Muhammad Saeed Virk","  PML","  28005",133,"Sheikhupura",2008
" Malik Mushtaq Ahmad","  PPP","  16228",133,"Sheikhupura",2008
" Imran Yousaf Munj","  Independent","  5894",133,"Sheikhupura",2008
" Shaukat Ali Kausar","  Independent","  2321",133,"Sheikhupura",2008
" Iftikhar Ahmad Malik","  Independent","  355",133,"Sheikhupura",2008
" Muhammad Ali Jawad"," 
          
          MQM"," 

          
      

          
          130",133,"Sheikhupura",2008
" Mian MunawarhLatif","  
          Independent","  92",133,"Sheikhupura",2008
" Chaudhar UsmanhVirk","  
          Independent","  85",133,"Sheikhupura",2008
" MuhammadhArif Khan Sandheela","  Independent","  19",133,"Sheikhupura",2008
" Malik JavedhShehbaz Heera","  Independent","  19",133,"Sheikhupura",2008
"Sardar Muhammad IrfanhDogar","PML(N)","47925",134,"Sheikhupura Nankana Sahib",2008
"Khurram Munawar Manj","  PML","  32928",134,"Sheikhupura Nankana Sahib",2008
"Noor Ul Ain Rai Saeed","  PPP","  21752",134,"Sheikhupura Nankana Sahib",2008
"Munawar Hussain Manj","  Independent","  1669",134,"Sheikhupura Nankana Sahib",2008
"Rai Ejad Ahmad Khan","  Independent","  450",134,"Sheikhupura Nankana Sahib",2008
"Alambardar Hussain Rizvi","  MQM","  156",134,"Sheikhupura Nankana Sahib",2008
"Syed Sajjad Hussain Shah"," 
          
          Independent"," 
      

          
          
          71",134,"Sheikhupura Nankana Sahib",2008
"Ahmad ZiahKhan","  
          Independent","  30",134,"Sheikhupura Nankana Sahib",2008
"Choudhary Muhammad BarjeeshTahir","PML(N)","46739",135,"Nankana Sahib",2008
"Rai Ijaz Ahmad Khan","  PPP","  42558",135,"Nankana Sahib",2008
"Mian Shamim Haidar","  PML","  24748",135,"Nankana Sahib",2008
"Mian Muhammad Rashid Amir ud Din","  Independent","  2645",135,"Nankana Sahib",2008
"Nazar Hussain","  Independent","  1510",135,"Nankana Sahib",2008
"Choudhary Anwar Ali Gill Advocate","  MQM","  151",135,"Nankana Sahib",2008
"Shehzad Ali Haidar"," 
          
          Independent","  64",135,"Nankana Sahib",2008
"Noor ul AinhRai Saeed","  
          Independent","  18",135,"Nankana Sahib",2008
"Chaudhary Bilal Ahmed Virk","PML(N)","49681",136,"Sheikhupura",2008
" Peer Tariq Ahmed Shah","  PML","  39371",136,"Sheikhupura",2008
" Ch.Tawakkal-Ullah Virk","  PPP","  24911",136,"Sheikhupura",2008
" Professor Javeed Sandhu","  Pasban","  1752",136,"Sheikhupura",2008
" Syed Abrar Hussain Shah","  Independent","  182",136,"Sheikhupura",2008
" Ria Faiz Ahmed Kharal","  Independent","  96",136,"Sheikhupura",2008
" Rana Muhammad Afzal Khan"," 
          
          Independent","  78",136,"Sheikhupura",2008
" Rana MujeebhAfzal Khan","  
          Independent","  60",136,"Sheikhupura",2008
" Ch.WaqashAhmed Virk","  Independent","  36",136,"Sheikhupura",2008
" Major (R)hSardar Zulifqar Hussain Syed","  Independent","  7",136,"Sheikhupura",2008
"Saeed Ahmed Zafar","Independent","54772",137,"Sheikhupura",2008
"Rai Mansab Ali Khan","  PML","  44745",137,"Sheikhupura",2008
"Muhammad Nisar Ahmad Khan","  PPP","  24829",137,"Sheikhupura",2008
"Ali Rizwan Bhatti","   
      



          Independent","  
          
          311",137,"Sheikhupura",2008
"RanahMujeeb Afzal Khan","  
          
          Independent","  
          
          169",137,"Sheikhupura",2008
"RaihFaisal Rasheed Bhatti","  
          
          PML(N)","  
          
          69",137,"Sheikhupura",2008
"AghahAbbas Raza"," 
          
          Independent","  
          
          63",137,"Sheikhupura",2008
"RanahMuhammad Afzal Khan","  
          
          Independent","  
          
          47",137,"Sheikhupura",2008
"Rao Mazhar Hayyat Khan","PML(N)","58832",138,"Kasur",2008
" Sardar Tofail Ahmed Khan","  PML","  39986",138,"Kasur",2008
" Tariq Hakam Ali","  PPP","  30630",138,"Kasur",2008
" Naeem Adnan Zahid"," 
      

          



          Independent","  
      



          825",138,"Kasur",2008
" ShahbazhAli Virk","  
          
          Independent","  
      



          768",138,"Kasur",2008
" SardarhMuhammad Sharif Dogar","  
      



          Independent","  
      



          710",138,"Kasur",2008
" Major(R)hRana Abdul Ghaffar Khan"," 
          
          Independent","  
      



          210",138,"Kasur",2008
" Ch.MuhammadhIlyas Khan","  
          
          Independent","  
      

          



          150",138,"Kasur",2008
" Major(R)hHabib ur Rehman Khan Myo Advocate","  
           
          
          
          MQM","  
          
          98",138,"Kasur",2008
" Ch.ImranhAslam Khan Advocate","  
          
          Independent","  
          
          34",138,"Kasur",2008
"Waseem Akhtar Sheikh","PML(N)","51436",139,"Kasur",2008
" Ch. Manzoor Ahmad","  PPP","  44002",139,"Kasur",2008
" Niloufer Qasim Mahdi","  PML","  21012",139,"Kasur",2008
" Sardar Muhammad Hussain Dogar (Advocate)"," 

          

      



          Independent"," 
      

          
          
          635",139,"Kasur",2008
" HafizhMuhammad Hanif Zafar (Advocate)","  
      



          MMA","  
      

      



          411",139,"Kasur",2008
" UzmahWaseem","  
      



          Independent","  
          
          157",139,"Kasur",2008
" Ch.hMuhammad Ilyas Khan"," 
          
          Independent","  
          
          56",139,"Kasur",2008
"Malik Rasheed Ahmed Khan","Independent","47295",140,"Kasur",2008
" Dr. Azeem ud Din Zahid Lakhwi","  Independent","  47206",140,"Kasur",2008
" Sardar Muhammad Sarwar Dogar","  PPP","  30305",140,"Kasur",2008
" Malik Khurram Saleem Naul"," 

      

          



          Independent"," 

          
      

          
          6143",140,"Kasur",2008
" MalikhJaved Hussain Baitu","  
      

      



          
          Independent","  
      

      

      



          713",140,"Kasur",2008
" SardarhMuhammad Asim Ghaffar Dogar","  
      



          Independent","  

      



          338",140,"Kasur",2008
" MuhammadhRamzan"," 
          
          Independent","  
      



          209",140,"Kasur",2008
" AbdulhKhaliq","  
          
          Independent","  
          
          207",140,"Kasur",2008
" SardarhMushtaq Ahmed Dogar","  
          
          Independent","  
          
          202",140,"Kasur",2008
" RamzanhKhan Mayo","  
          
          Independent","  
          
          180",140,"Kasur",2008
" SyedhMujeeb ul Hassan","  
          
          Independent","  
          
          129",140,"Kasur",2008
" MuhammadhAzam","  
          
          Independent","  
          
          91",140,"Kasur",2008
" MirzahQadeer Ahmed","  
          
          Independent","  
          
          86",140,"Kasur",2008
" RanahMuhammad Ali","  
          
          Independent","  
          
          73",140,"Kasur",2008
" SardarhFawad Ahmed Dogar","  
          
          Independent","  
          
          59",140,"Kasur",2008
"Rana Muhammad Ishaq Khan","PML(N)","58807",141,"Kasur",2008
" Sardar Muhammad Asif Nakai","  PML","  44468",141,"Kasur",2008
" Rana Abdul Shakoor Khan","  PPP","  20084",141,"Kasur",2008
" Mutasim Elahi Zaheer"," 

      

          JAH"," 
      

          
          
          1121",141,"Kasur",2008
" SyedhTariq Raza Advocate"," 
      

      

          



          
          Independent","  
      

      

      

      



          917",141,"Kasur",2008
" RanahLiaqat Ali Khan","  
      



          Independent","  

      

      



          869",141,"Kasur",2008
" SardarhMajid Akhtar Nakai"," 
          
          Independent","  
      

      



          319",141,"Kasur",2008
" MuhammadhZaid Lakhvi","  
          
          Independent","  
          
          107",141,"Kasur",2008
" MuhammadhAhsen","  
          
          Independent","  
          
          90",141,"Kasur",2008
" AzharhMehmood Mian Advocate","  
          
          Independent","  
          
          47",141,"Kasur",2008
" SibghatullahhChuadhry","  
          
          Independent","  
          
          47",141,"Kasur",2008
"Sardar Talib Hassan Nakai","PML","47192",142,"Kasur",2008
" Rana Muhammad Hayat Khan","  PML(N)","  45538",142,"Kasur",2008
" Nasira Arshad","  PPP","  24714",142,"Kasur",2008
" Sardar Muhammad Asif Nakai","  Independent"," 

          
      

          
          1506",142,"Kasur",2008
" RanahMuhammad Arif Khan Advocate"," 

      

          

      



          
          Independent"," 
      

      

      

      

          
          
          257",142,"Kasur",2008
" SardarhAhmed Ayyaz Nakai","  
      



          Independent","  

      

      

      



          240",142,"Kasur",2008
" RanahMuhammad Ishaq Khan"," 
          
          Independent","  
          
          187",142,"Kasur",2008
" ImranhIshfaq","  
          
          Independent","  
          
          59",142,"Kasur",2008
"Capt.(Rtd) Rai GhulamhMujtaba Kharral","PPP","63960",143,"Okara",2008
" Muhammad Aslam Khan Kharral","  PML","  43798",143,"Okara",2008
" Rai Muhammad Saleem Raza Kharral Advocate","  PML","  15265",143,"Okara",2008
" Ch.Sarfraz Hussain Bhatti","  Independent"," 
      

          

          
          1112",143,"Okara",2008
" Dr.LiaquathAli Kausar"," 

          

      

      



          
          Independent"," 

      

      

      

          
      

          
          0",143,"Okara",2008
"Sajjad Ul Hassan","Independent","77795",144,"Okara",2008
" Rao Sikandar Iqbal","  PML","  33527",144,"Okara",2008
" Mian Yawar Zaman","  PML(N)","  4333",144,"Okara",2008
" Muhammad Ashraf Khan Sohna","  Independent"," 

          

      

          
          677",144,"Okara",2008
" MianhMuhammad Munir"," 

      

      

          



          
          Independent"," 

      

      

          
      

      

          
          605",144,"Okara",2008
" Naeem Ajmal KhanhLashari Bedar","  MQM","   431",144,"Okara",2008
" Farid Tariq Khan","  Independent","   257",144,"Okara",2008
" Mirza Naeem Baig","  Independent","   173",144,"Okara",2008
" Khalil Akhtar Rao","  Independent","   170",144,"Okara",2008
" Mian Riaz ul HaqhChandoor","  Independent","   76",144,"Okara",2008
"Syed Sumsan Ali ShahhBukhari","PPP","64607",145,"Okara",2008
" Syed Gulzar Sabtain Shah","  PML","  42761",145,"Okara",2008
" Syed Javed Hassan","  PML(N)","  21253",145,"Okara",2008
" Syed Muhammad Abbas","  PNP"," 

      

          

          
          639",145,"Okara",2008
" BilalhZia Qamar"," 

      

          

      



          
          Independent"," 

      

          
      

      

      

          
          180",145,"Okara",2008
" Musharraf Ali","  Independent","   114",145,"Okara",2008
"Mian Manzoor Ahmad KhanhWattoo","Independent","46941",146,"Okara",2008
" Rao Muhammad Ajmal Khan","  PML","  46006",146,"Okara",2008
" Syed Abbas Raza Rizvi","  PPP","  29709",146,"Okara",2008
" Mian Muhammad Sharif Zafar Joia","  PML(N)"," 

          

      

          
          8544",146,"Okara",2008
" MianhRizwan Hayee Daula"," 

          

      

      



          
          Independent"," 

          
      

      

      

      

          
          816",146,"Okara",2008
" Rubina ShaheenhWattoo","  PBP","  753",146,"Okara",2008
" Muhammad NasimhAhmad Wattoo","  Independent","  445",146,"Okara",2008
" Rao Muhammad SaadhAjmal Khan","  Independent","  355",146,"Okara",2008
" Dr. Lala RukhhMustafa","  MQM","  346",146,"Okara",2008
" Tariq Rafiq Ch.","  Independent","  0",146,"Okara",2008
"Khurram Jahangir Wattoo","PPP","79195",147,"Okara",2008
" Muhammad Zafar Yasin Wattoo","  Independent","  15965",147,"Okara",2008
" Jahangir Ahmad Mahar","  Independent","  150",147,"Okara",2008
" Sardar Khyzar Hayat Khan Ladhuka","  Independent"," 

      

          

          
          137",147,"Okara",2008
" MirzahAli Raza"," 

      

      

          



          
          Independent"," 
      

      

      

      

          
          
          105",147,"Okara",2008
" Masroor AhmadhWattoo","  Independent","  103",147,"Okara",2008
" Syed Raza AlihGillani","  Independent","  71",147,"Okara",2008
" Ahmed ShujjahhWattoo","  Independent","  59",147,"Okara",2008
" Ch. IftikharhHussain Chachar","  Independent","  51",147,"Okara",2008
" Muhammad NaseemhAhmad Khan Wattoo","  Independent","  34",147,"Okara",2008
" Syed Afzaal AlihShah Gillani","  Independent","  31",147,"Okara",2008
" Muhammad UmarhHayat Wattoo","  Independent","  23",147,"Okara",2008
" Mozzam Jahan ZaibhWattoo","  Independent","  19",147,"Okara",2008
" Syed Muhammad AlihShah Gillani","  Independent","  18",147,"Okara",2008
"Syed Ali Musa Gillani","PPP","93106",148,"Multan",2008
" Malik Abdul Ghaffar Dogar","  PML(N)","  42819",148,"Multan",2008
" Hakeem Sheikh Ghulam Moin-ud-Din Qureshi","  Independent","  522",148,"Multan",2008
" Shahzada Babar Maan","  Independent"," 

          

      

          
          471",148,"Multan",2008
" Ch.hYaqub Gujjar"," 

      

          

      



          
          Independent"," 

      

      

      

          
      

          
          275",148,"Multan",2008
" Farhad Haider Shahh(Retired)","  Independent","  225",148,"Multan",2008
" Rana ShahidhMahmood","  Independent","  195",148,"Multan",2008
" Malik Ghulam AbbashRan (Retired)","  Independent","  101",148,"Multan",2008
" Ghulam MustafahBhutta","  Independent","  84",148,"Multan",2008
" Malik Aamir SaeedhRan","  Independent","  72",148,"Multan",2008
" Muhammad LatifhAnsar Siyal (Professor Lajpal)","  Independent","  61",148,"Multan",2008
" Mushtaq MasihhSalik","  Independent","  35",148,"Multan",2008
" Rana MuhammadhNasir Yasin Rajput","  Independent","  34",148,"Multan",2008
" Muhammad ManzoorhKhosa","  Independent","  28",148,"Multan",2008
" Ch. Khizer Hayath(Retired)","  Independent","  28",148,"Multan",2008
" Malik Ejaz HussainhAdvocate","  Independent","  17",148,"Multan",2008
" Engineer SyedhMohsin Raza Gardezi","  Independent","  15",148,"Multan",2008
" RaohAnees-ur-Rehman Khan","  Independent","  11",148,"Multan",2008
"Sheikh Muhammad TariqhRasheed","PML(N)","37143",149,"Multan",2008
" Malik Liaquat Ali Dogar","  PPP","  24531",149,"Multan",2008
" Prof. Muhammad Amjad Khan","  Independent","  1664",149,"Multan",2008
" Muhammad Saleem Ullah Advocate","  Independent"," 

      

          

          
          135",149,"Multan",2008
" SardarhSafdar Abbas Khan Baloch"," 

          

      

      



          
          Independent"," 

      

      

          
      

      

          
          130",149,"Multan",2008
" Engineer SyedhMohsin Raza Gardezi","  Independent","  128",149,"Multan",2008
" Maqsoodan Ansari","  Independent","  108",149,"Multan",2008
" Muhammad LatifhAnsar Siyal (Professor Lajpal)","  Independent","  70",149,"Multan",2008
" Umer Farooq Bhatti","  Independent","  31",149,"Multan",2008
"Rana Mahmood-ul-Hassan","PML(N)","57774",150,"Multan",2008
" Syed Abdul Qadir Gillani","  PPP","  43299",150,"Multan",2008
" Fazal Ahmad Sheikh","  PML","  25158",150,"Multan",2008
" Allama Doctor Muhammad Anees Rohani","  MMA"," 

          

      

          
          288",150,"Multan",2008
" RanahMuhammad Arif Raza"," 

          

          MQM"," 

      

          
      

      

      

          
          226",150,"Multan",2008
" Razi-ud-Din","  Independent","  118",150,"Multan",2008
"Syed Abdul Qadir Gillani","PPP","64364",151,"Multan",2008
" Shokat Hayat Khan Bosan","  Independent","  60779",151,"Multan",2008
" Muhammad Abid Yousaf Jutt","  Independent","  306",151,"Multan",2008
" Muhammad Latif Ansar Sial Lajpal (ProfessorhhLajpal","  Independent"," 

      

          

          
          183",151,"Multan",2008
" Dr. Aleem Chaudhary","  Independent"," 

          
      

      

      

      

          
          177",151,"Multan",2008
