"Seat","City","Province","WinParty","WinVotes","RunParty","RunVotes","Df","Margin","Percent","RunPercent","RunMargin"
242,"Karachi","Sindh","MQM",166836,"PTI",10889,155947,14.3215171273763,1432.15171273763,">100%","<166K"
243,"Karachi","Sindh","MQM",192638,"PTI",29875,162763,5.44813389121339,544.813389121339,">100%","<166K"
244,"Karachi","Sindh","MQM",133885,"PTI",26495,107390,4.05321758822419,405.321758822419,">100%","<133K"
247,"Karachi","Sindh","MQM",126263,"PTI",35349,90914,2.57189736626213,257.189736626213,">100%","<99K"
248,"Karachi","Sindh","PPP-P",84530,"PTI",26348,58182,2.20821314710794,220.821314710794,">100%","<66K"
251,"Karachi","Sindh","MQM",81603,"PTI",40388,41215,1.02047637912251,102.047637912251,">100%","<66K"
252,"Karachi","Sindh","MQM",91339,"PTI",49622,41717,0.840695659183427,84.0695659183427,"<100%","<66K"
253,"Karachi","Sindh","MQM",101385,"PTI",61913,39472,0.637539773553212,63.7539773553212,"<75%","<66K"
254,"Karachi","Sindh","MQM",53045,"PTI",5855,47190,8.0597779675491,805.97779675491,">100%","<66K"
255,"Karachi","Sindh","MQM",136982,"PTI",19033,117949,6.19707875794672,619.707875794672,">100%","<133K"
256,"Karachi","Sindh","MQM",151788,"PTI",69072,82716,1.19753300903405,119.753300903405,">100%","<99K"
257,"Karachi","Sindh","MQM",125405,"PTI",23508,101897,4.3345669559299,433.45669559299,">100%","<133K"
259,"Quetta","Balochistan","PKMAP",38401,"PTI",16006,22395,1.39916281394477,139.916281394477,">100%","<33K"
