"Name","Party","Votes","Seat","City","Year"
"Ajmal Khan","Independent","9443",15,"Karak",2002
"Muhammad Amin Khattak","ANP","9110",15,"Karak",2002
"Said Ullah Shah","PPP-S","3237",15,"Karak",2002
"Mir Zakim Khan","Independent","1113",15,"Karak",2002
"Badshah Jan","PKMAP","193",15,"Karak",2002
"Farzana Masood","Independent","83",15,"Karak",2002
"Muhammad Iqbal","Independent","75",15,"Karak",2002
"Akhunzada Muhammad Sadiq","MMA","25252",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Hassan Ahmed Khan","ANP","5234",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Shaharyar Khan Bangash","PML-Q","4189",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Colonel ® Muhammad Idressh Niazi","PPP-S","4035",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Zaman Noor Bangash","PTI","3137",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Kishwar Sultana","PAT","1503",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Doctor Muhammad Aslam Khan","Independent","758",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Hafiz Khursheed Ali Khan","Independent","447",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Javed Ibrahim Paracha","PML-N","421",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Amanullah Khan Jadoon","PML-Q","44716",17,"Abbottabad",2002
"Doctor Muhammad Azhar Khanh Jadoon","Independent","30949",17,"Abbottabad",2002
"Al-Haj Habib-ur-Rehman Abbasi","MMA","21383",17,"Abbottabad",2002
"Ali Asghar Khan","QJP","4687",17,"Abbottabad",2002
"Sardar Ibrar Ahmad","PPP","3646",17,"Abbottabad",2002
"Asif Malik Advocate","HQM","3384",17,"Abbottabad",2002
"Syed Ejaz Hussain Shah","Independent","389",17,"Abbottabad",2002
"Sardar Muhammad Yaqoob","PML-Q","36826",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Murtaza Javed Abbasi","PML-N","32527",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Nawabzada Jehangir Saeedh Tanoli","Independent","19784",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Qari Syed Abdul Rahim Shah","MMA","13017",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Qazi Muhammad Azhar",NA,"6145",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Muhammad Aurangzeb Choudhry","PAT","3516",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Colonel ® Abdul Ghafar Javed","Independent","2145",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Naveed Ashraf Abbasi","Independent","120",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Umer Ayub Khan","PML-Q","81496",19,"&#13;
      Complete Result of NA19 Haripur",2002
"Syed Muhammad Sabir Shah","PML-N","61359",19,"&#13;
      Complete Result of NA19 Haripur",2002
"Ghulam Nabi","MMA","30514",19,"&#13;
      Complete Result of NA19 Haripur",2002
"Sardar Abdur Raoof Khan","PPP","16902",19,"&#13;
      Complete Result of NA19 Haripur",2002
"Muhammad Shehryar Khan","PML-J","5956",19,"&#13;
      Complete Result of NA19 Haripur",2002
"Abdul Hamid Khan","PAT","1978",19,"&#13;
      Complete Result of NA19 Haripur",2002
"Syed Waqar Hussain Shah","Independent","1582",19,"&#13;
      Complete Result of NA19 Haripur",2002
"Sardar Shajehan Yousaf","PML-Q","40853",20,"&#13;
      Complete Result of NA20 Mansehra",2002
"Lt Gen ® Syed Salahuddinh Tirmizi","Independent","37520",20,"&#13;
      Complete Result of NA20 Mansehra",2002
"Al-Haj Syed Ghulam Nabi Shah","MMA","35576",20,"&#13;
      Complete Result of NA20 Mansehra",2002
"Muhammad Saqib Mumtaz","PML-N","1754",20,"&#13;
      Complete Result of NA20 Mansehra",2002
"Sardar Wiqarul Mulk","PPP","1442",20,"&#13;
      Complete Result of NA20 Mansehra",2002
"Naveed Akhter Khan","PTI","250",20,"&#13;
      Complete Result of NA20 Mansehra",2002
"Maulana Abdul Malik","MMA","46331",21,"
      Complete Result of NA21 Mansehra",2002
"Faiz Muhammad Khan","Independent","25771",21,"
      Complete Result of NA21 Mansehra",2002
"Nawabzada Salauddin Saeed","PML-Q","24557",21,"
      Complete Result of NA21 Mansehra",2002
"Tahir Ali","PML-N","7158",21,"
      Complete Result of NA21 Mansehra",2002
"Qari Muhammad Yousaf","MMA","22316",22,"&#13;
      Complete Result of NA22 Battagram",2002
"Mohammad Nawaz Khan","PML-Q","10875",22,"&#13;
      Complete Result of NA22 Battagram",2002
"Bakht Nawaz Khan","Independent","9609",22,"&#13;
      Complete Result of NA22 Battagram",2002
"Inayatullah Khan","Independent","1216",22,"&#13;
      Complete Result of NA22 Battagram",2002
"Molvi Abdul Haleem","MMA","15603",23,"&#13;
      Complete Result of NA23 Kohistan",2002
"Mehboobullah Jan","PML-Q","10630",23,"&#13;
      Complete Result of NA23 Kohistan",2002
"Abbas Sarfaraz Khan","Independent","7915",23,"&#13;
      Complete Result of NA23 Kohistan",2002
"Muhammad Aslam","Independent","3143",23,"&#13;
      Complete Result of NA23 Kohistan",2002
"Saif-ur-Rehman","Independent","1696",23,"&#13;
      Complete Result of NA23 Kohistan",2002
"Afzal Khan","PPP","436",23,"&#13;
      Complete Result of NA23 Kohistan",2002
"Muhammad Anwar","Independent","169",23,"&#13;
      Complete Result of NA23 Kohistan",2002
"Maulana Fazal-ur-Rehman","MMA","43124",24,"D.I.Khan",2002
"Faisal Karim Kundi","PPP","36891",24,"D.I.Khan",2002
"Alhaj Sanaullah Khan Mianh Khel","PML-Q","26860",24,"D.I.Khan",2002
"Maulana Atta-ur-Rehman","Independent","1981",24,"D.I.Khan",2002
"Javed Hassan Laghari",NA,"774",24,"D.I.Khan",2002
"Abdul Aziz","PAT","492",24,"D.I.Khan",2002
"Abid Hussain Chughtai","PWP","486",24,"D.I.Khan",2002
"Maulana Fazal-ur-Rehman","MMA","59102",25,"&#13;
      Complete Result of NA25 D.I.Khan / Tank",2002
"Dawar Khan Kundi","PPP","31976",25,"&#13;
      Complete Result of NA25 D.I.Khan / Tank",2002
"Alhaj Sardar Umar Farooq Khanh Mian Khel","PML-Q","18882",25,"&#13;
      Complete Result of NA25 D.I.Khan / Tank",2002
"Alhaj Sanaullah Khan Mianh Khel","Independent","3529",25,"&#13;
      Complete Result of NA25 D.I.Khan / Tank",2002
"Maulana Atta-ur-Rehman","Independent","1501",25,"&#13;
      Complete Result of NA25 D.I.Khan / Tank",2002
"Farooq Khan",NA,"1415",25,"&#13;
      Complete Result of NA25 D.I.Khan / Tank",2002
