"Name","Party","Votes","Seat","City","Year"
"Ghulam Ahmad Bilour","ANP","51233",1,"Peshawar",1990
"Mohtarma Benazir Bhutto","PDA","38951",1,"Peshawar",1990
"Ghulam Jaffar","Independent","1507",1,"Peshawar",1990
"Muhammad Yousif Qureishi","Independent","1190",1,"Peshawar",1990
"Benazeer","Independent","1067",1,"Peshawar",1990
"Qamar Abbass","Independent","397",1,"Peshawar",1990
"Khalid Mehmood Durrani","PAT","373",1,"Peshawar",1990
"Abdul Majid","Independent","290",1,"Peshawar",1990
"Qazi Shah Jehan","NDP","204",1,"Peshawar",1990
"Syed Javed Hassan Shah","Independent","95",1,"Peshawar",1990
"Arbab Muhammad Jehangir 
Khan","ANP","31222",2,"Peshawar",1990
"Aftab Ahmad Khan Sherpao","PDA","19137",2,"Peshawar",1990
"Mursaleen Khan","JUI-F","13307",2,"Peshawar",1990
"Muhammad Hassan Khan","Independent","891",2,"Peshawar",1990
"Arbab Muhammad Zahir","ANP","38730",3,"Peshawar",1990
"Abdul Latif","PDA","19977",3,"Peshawar",1990
"Maulana Muhammad Usman","JUI-F","11770",3,"Peshawar",1990
"Pirzada Nabi Amin","Independent","11269",3,"Peshawar",1990
"Muhammad Ajmal Khan 
Khattak","ANP","38389",4,"Nowshera GE 1990",1990
"Pervaiz Khan Khattak","PDA","25722",4,"Nowshera GE 1990",1990
"Mualana Sher Ali Shah","JUI-F","13961",4,"Nowshera GE 1990",1990
"Muhammad Amin Khattak","Independent","3639",4,"Nowshera GE 1990",1990
"Molvi Hassan Jan","JUI-F","66452",5,"Charsadda",1990
"Abdul Wali Khan","ANP","52929",5,"Charsadda",1990
"Rawad ul Haq (Retired)","Independent","2235",5,"Charsadda",1990
"Muhammad Azam Khan","ANP","35880",6,"Mardan",1990
"Khanzada Khan","PDA","28616",6,"Mardan",1990
"Ghulam Rabbani","JUI-F","22235",6,"Mardan",1990
"Khan Mir Afzal Khan","IJI","37452",7,"Mardan",1990
"Rahim Dad Khan","PDA","24813",7,"Mardan",1990
"Haji Muhammad Ahmad","JUI-F","17872",7,"Mardan",1990
"Muhammad Shah Jahan Khan","PKMAP","1575",7,"Mardan",1990
"Abdul Akbar Khan","Independent","1174",7,"Mardan",1990
"Ziarat Khan Mohmand","PMKP-FG","647",7,"Mardan",1990
"Kar Khan","Independent","621",7,"Mardan",1990
"Rehmanullah","ANP","51909",8,"&#13;
      Complete Result of NA 8 Swabi",1990
"Saleem Khan","PDA","28750",8,"&#13;
      Complete Result of NA 8 Swabi",1990
"Qazi Moulana Faizullah","JUI-F","28015",8,"&#13;
      Complete Result of NA 8 Swabi",1990
"Yaqoob Khan","Independent","5751",8,"&#13;
      Complete Result of NA 8 Swabi",1990
"Syed Iftikhar Hussain 
Gillani","PDA","27848",9,"Kohat",1990
"Molvi Niamatullah","IJI","26493",9,"Kohat",1990
"Javed Ibrahim Paracha","JUI-F","25143",9,"Kohat",1990
"Syed Ghalib Shah","Independent","8117",9,"Kohat",1990
"Gul Shahzad Khattak","Independent","618",9,"Kohat",1990
"Al Haj Muhammad Aslam KhanKhattak","Independent","27866",10,"Karak",1990
"Moulana Shaheed Ahmad","IJI","14684",10,"Karak",1990
"Afra Siab Khattak","QIP","9643",10,"Karak",1990
"Hafiz Abn-e-Amin","JUI-F","3180",10,"Karak",1990
"Sher Nawaz Khattak","Independent","285",10,"Karak",1990
"Bakhat Bibi","Independent","277",10,"Karak",1990
"Sardar Mehtab Ahmad Khan","IJI","64541",11,"Abbottabad",1990
"Amanullah Khan Jadoon","Independent","31754",11,"Abbottabad",1990
"Muhamamd Salim Khan","Independent","1321",11,"Abbottabad",1990
"Nawab Khan Jadoon","Independent","364",11,"Abbottabad",1990
"Haji Javed Iqbal Abbasi","IJI","43764",12,"Abbottabad",1990
"Sardar Gul Khatab","Independent","29247",12,"Abbottabad",1990
"Sardar Inyat ur Rehman","PDA","5576",12,"Abbottabad",1990
"Muhammad Saleem Khan","Independent","5284",12,"Abbottabad",1990
"Sardar Hukam Dad","Independent","1373",12,"Abbottabad",1990
"Lt. Col (R) Abdul Razaq","HF","678",12,"Abbottabad",1990
"Gohar Ayub Khan","IJI","52923",13,"Abbottabad GE 90",1990
"Omar Asghar Khan","PDA","30970",13,"Abbottabad GE 90",1990
"Raja Muhammad Tahir Ayub","PAT","6339",13,"Abbottabad GE 90",1990
"Muhammad Naseem","Independent","3643",13,"Abbottabad GE 90",1990
"Malik Abdul Sattar","JUI-F","1260",13,"Abbottabad GE 90",1990
"Muhammad Rafique Mashwani","Independent","979",13,"Abbottabad GE 90",1990
"Sardar Muhammad Yousaf","Independent","34787",14,"Mansehra",1990
"Syed Muzammil Shah","IJI","31457",14,"Mansehra",1990
"Syed Ghulam Nabi Shah","JUI-F","13120",14,"Mansehra",1990
"Muhammad Hanif Khan","Independent","9443",14,"Mansehra",1990
"Sajid Mumtaz Khan","PDA","726",14,"Mansehra",1990
"Syed Ikhlaq Shah","Independent","471",14,"Mansehra",1990
"Nawabzada Salah-ud-dinSaeed Khan","IJI","19109",15,"Mansehra",1990
"Syed Qasim Shah","Independent","16115",15,"Mansehra",1990
"Zar Gul","Independent","11528",15,"Mansehra",1990
"Moulana Abdur Razzaq Aziz","JUI-F","6733",15,"Mansehra",1990
"Qazi Shamsul Haq","PAT","1652",15,"Mansehra",1990
"Badrul Islam","Independent","905",15,"Mansehra",1990
"Ali Muhammad","Independent","838",15,"Mansehra",1990
"Muhammad Aslam","Independent","519",15,"Mansehra",1990
"Malak Muhammad Younis","Independent","398",15,"Mansehra",1990
"Alam Zeb Khan","JUI-F","13556",16,"Mansehra",1990
"Khan Muhammad Ayub Khan","Independent","10684",16,"Mansehra",1990
"Malik Jan","Independent","8160",16,"Mansehra",1990
"Abdul Qayyum","Independent","2797",16,"Mansehra",1990
"Sher Ali Khan (Retired)","Independent","747",16,"Mansehra",1990
"Molvi Muhammad Amin","JUI-F","7752",17,"Kohistan",1990
"Malik Said Ahmad","Independent","4607",17,"Kohistan",1990
"Aurang Zeb","Independent","4581",17,"Kohistan",1990
"Moulana Abdul Baqi","IJI","4034",17,"Kohistan",1990
"Aurungzeb","Independent","2265",17,"Kohistan",1990
"Gul Dad Khan","Independent","3106",17,"Kohistan",1990
"Muhammad Siraj","QIP","690",17,"Kohistan",1990
"Haji Ali Dad","Independent","352",17,"Kohistan",1990
"Fazal Karim Khan Kundi","PDA","64533",18,"DI Khan",1990
"Moualna Fazal ur Rehman","JUI-F","52890",18,"DI Khan",1990
"Haji Muhammad Ramzan","Independent","15679",18,"DI Khan",1990
"Qazi AbdulLatif","IJI","13619",18,"DI Khan",1990
"Muhammad Khalid Raza Zakori","PAT","6047",18,"DI Khan",1990
