"Name","Party","Votes","Seat","City","Year"
"Aftab Ahmad Khan Sherpao","PPP","44658",1,"Peshawar",1988
"Ghulam Ahmad Bilour","ANP","35947",1,"Peshawar",1988
"Muhammad Rafiq","Independent","2335",1,"Peshawar",1988
"Said Anwar","Independent","1826",1,"Peshawar",1988
"Khan Bahadar Khan","PPP","24444",2,"Peshawar",1988
"Arbab Saif-ur-Rehman","ANP","19402",2,"Peshawar",1988
"Rafiq Ahmad Khalil","Independent","10377",2,"Peshawar",1988
"Salim Jan Khalil","JUI","1080",2,"Peshawar",1988
"Muhammad Fayyaz Khalil","ANP-A","1018",2,"Peshawar",1988
"Arbab Muhammad JehangirKhalil","IJI","840",2,"Peshawar",1988
"Sardar Ali Khan","PPP","28408",3,"Peshawar",1988
"Abdul Latif","ANP","24727",3,"Peshawar",1988
"Pirzada Nahi Amin","IJI","23798",3,"Peshawar",1988
"Haji Noor Muhammad","Independent","614",3,"Peshawar",1988
"Arbab Muhammad Zahir(Retired)","Independent","385",3,"Peshawar",1988
"Nisar Khan (Retired)","Independent","244",3,"Peshawar",1988
"Main Muzaffar Shah","PPP","27902",4,"Peshawar",1988
"Ahrar Khattak","ANP","27817",4,"Peshawar",1988
"Maulana Anwar ul Haq","IJI","16439",4,"Peshawar",1988
"Inayatullah Khan","PAI","458",4,"Peshawar",1988
"Dil Aram Khan","Independent","375",4,"Peshawar",1988
"Nasrullah Khan","Independent","127",4,"Peshawar",1988
"Khan Abdul Wali Khan","ANP","63195",5,"Charsadda",1988
"Ihsanullah Khan","IJI","34431",5,"Charsadda",1988
"Muhammad Nisar","Independent","2253",5,"Charsadda",1988
"Tariq Mehmood","Independent","2134",5,"Charsadda",1988
"Haji Muhammad Yaqoob","PPP","46091",6,"Mardan",1988
"Muhammad Azam Khan","ANP","32138",6,"Mardan",1988
"Haji Muhamamd Ahmad","JUI-F","23542",7,"Mardan",1988
"Haji Sarfraz Khan","PPP","22594",7,"Mardan",1988
"Moulana Gohar Rehmad","IJI","13519",7,"Mardan",1988
"Haji Muhamamd Yousif Khan","ANP","13180",7,"Mardan",1988
"Misal Khan","Independent","4361",7,"Mardan",1988
"Muhammad Azhar Khan","PKMP","2946",7,"Mardan",1988
"Haji Abdur Rehman","Independent","1197",7,"Mardan",1988
