Candidate Name,Party,Votes,Seat,City,Year
Muhammad Azhar Uhra,Independent,622,154,Lodhran,2013
Rana Salaam Abbas Noon,PSP,599,154,Lodhran,2013
Malik Muhammad Ramzan Cheena,Independent,484,154,Lodhran,2013
Malik Ejaz Ahmed Arain,Independent,339,154,Lodhran,2013
Muhammad Aslam Bukhari,Independent,337,154,Lodhran,2013
Muhammad Nadeem Saglain,Independent,329,154,Lodhran,2013
Muhammad Idress Jami,MQM,285,154,Lodhran,2013
Nazeer Ahmed Rojh,PPP-SB,266,154,Lodhran,2013
Jacab Aftab,Independent,264,154,Lodhran,2013
Chaudhary Waseem Ahmed Advocate,PJP,99,154,Lodhran,2013
Syed Hassan Raza Gillani,APML,85,154,Lodhran,2013
Qasim Mumtaz Khan,Independent,69,154,Lodhran,2013
Malik Zawar Hussain Bhutta,TIP,45,154,Lodhran,2013
Abdul Rahman Khan Kanju,Independent,85376,155,Lodhran,2013
Muhammad Akhtar Khan Kanju,PML-N,60488,155,Lodhran,2013
Nawab Aman Ullah Khan,PTI,42186,155,Lodhran,2013
Rana Muhammad Faraz Noon,PPP-P,22264,155,Lodhran,2013
Hafiz Abul Majeed,Independent,4734,155,Lodhran,2013
Falak Sher,Independent,1177,155,Lodhran,2013
Muhammad Riaz Jutt Boka,Independent,679,155,Lodhran,2013
Muhammad Meraj Ahmad,MQM,659,155,Lodhran,2013
Baqa Muhammad Khan,KMP,440,155,Lodhran,2013
Atta Ullah Awan,Independent,420,155,Lodhran,2013
Kamran Abbas Malik,Independent,211,155,Lodhran,2013
Rana Allah Wasaya Utra,Independent,202,155,Lodhran,2013
Sardar Muhammad Jaffar Khan Leghari,PML-N,100794,174,Rajanpur,2013
Sardar Nasrullah Khan Dreshak,Independent,61204,174,Rajanpur,2013
Khawaja KaIeem ud Din Koreja,PPP-P,25292,174,Rajanpur,2013
Abdul Razzaq Raja,PTI,6825,174,Rajanpur,2013
Khawaja Mohsin Riaz,JI,6371,174,Rajanpur,2013
Sardar Hasnain Bahadur Khan Dreshak,Independent,2249,174,Rajanpur,2013
Sardar Ali Raza Khan Dreshak,Independent,1998,174,Rajanpur,2013
Allama Muhammad Askari,MWM,1194,174,Rajanpur,2013
Sardar Zulfiqar Khan Dreshak,Independent,1012,174,Rajanpur,2013
Muhammad Ikram Qureshi,Independent,696,174,Rajanpur,2013
Rasheed Ahmad Khan l.angha,PSP,577,174,Rajanpur,2013
Saifullah Khan,MQM,410,174,Rajanpur,2013
Sardar Adeel Hassan Khan Gorchani,Independent,359,174,Rajanpur,2013
Mirza Shahbaz,Independent,232,174,Rajanpur,2013
Qari Abdul Majeed,MDM,225,174,Rajanpur,2013
Mehmood Ahmad Naqshbandi,JUP-N,219,174,Rajanpur,2013
Aftab Shahban Mirani,PPP-P,54015,202,Shikarpur,2013
Muhammad Ibrahim Jatoi,NPP,53785,202,Shikarpur,2013
Moulana Abdullah Pahore,JUI-F,26638,202,Shikarpur,2013
Iftikhar Soomro,PTI,2210,202,Shikarpur,2013
Agha Mohammad Munwar,PML-N,1355,202,Shikarpur,2013
Haji Khanwand Bux Khan Pahore,Independent,630,202,Shikarpur,2013
Sakhi Dad Mari,MQM,597,202,Shikarpur,2013
Ghulam Sarwar Arain,Independent,348,202,Shikarpur,2013
Rasool Bux Shah,MWM,251,202,Shikarpur,2013
Agha Farhan Ali,Independent,137,202,Shikarpur,2013
Ameer Ali Jatoi,Independent,109,202,Shikarpur,2013
Naeem Ahmed Khan Jatoi,Independent,102,202,Shikarpur,2013
Rais Ghulam Murtaza Khan Jatoi,NPP,83355,211,Naushero Feroze,2013
Zulfiqar Ali Behan,PPP-P,67224,211,Naushero Feroze,2013
Aftab Ahmed Rajput,MQM,5356,211,Naushero Feroze,2013
Taimour Saleh,Independent,2227,211,Naushero Feroze,2013
Ghulam Shabir Burriro,Independent,1933,211,Naushero Feroze,2013
Allando Shah alias Zafar Ali Shah,Independent,795,211,Naushero Feroze,2013
Rashid Ali,PPP-SB,366,211,Naushero Feroze,2013
Abdul Sattar Mughal,Independent,218,211,Naushero Feroze,2013
Zafar Iqbal,Independent,164,211,Naushero Feroze,2013
Asif Mustafa Jatoi,Independent,135,211,Naushero Feroze,2013
Haji Khan Mashori Adovcate,Independent,52,211,Naushero Feroze,2013
Aziz Ahmed Behan,Independent,51,211,Naushero Feroze,2013
Pir Sayed Ashique Muhyudin Shah,Independent,46,211,Naushero Feroze,2013
Ghulam Mustafa Korai,Independent,33,211,Naushero Feroze,2013
Ghulam Farooque,Independent,21,211,Naushero Feroze,2013
Ali Gohar Kalhoro,Independent,15,211,Naushero Feroze,2013
Muhammad Ameen,Independent,13,211,Naushero Feroze,2013
Mir Muhammad Solangi,Independent,10,211,Naushero Feroze,2013
Makhdoom Muhammad Ameen Fahim,PPP-P,95724,218,Hyderabad,2013
Abdul Razzaque,PML-F,72423,218,Hyderabad,2013
Syed Yasir Ahmad Shah,Independent,2020,218,Hyderabad,2013
Syed Ghulam Shabbir Shah,MQM,1607,218,Hyderabad,2013
Peeral Majeedano,PPP-SB,1384,218,Hyderabad,2013
Imdad Ali Solangi,MDM,1284,218,Hyderabad,2013
Naseer Ahmad Memon,Independent,600,218,Hyderabad,2013
Makhdoom Jalil Zaman,Independent,394,218,Hyderabad,2013
Fazulullah Qazi,Independent,362,218,Hyderabad,2013
Shakeel Ahmed,Independent,280,218,Hyderabad,2013
Makhdoom Jamil Zaman,Independent,161,218,Hyderabad,2013
Doctor Aijaz Ali,JUI-F,73,218,Hyderabad,2013
